,Accuracy
Top 2,0.7630331753554502
Top 3,0.7335766423357665
Top 4,0.6369047619047619
Top 5,0.6194225721784777
Top 10,0.5092936802973977
Top 20,0.36363636363636365
Top 30,0.3398773006134969
