,Accuracy,Time
HCD35_Positive,83.93,265.82693338394165
HCD45_Positive,80.95,164.37989473342896
HCD65_Positive,80.06,73.4548590183258
HCD35_Negative,73.4,8.870514631271362
HCD45_Negative,72.34,13.735286712646484
HCD65_Negative,68.09,22.73223090171814
