,Accuracy
Top 2,0.6557377049180327
Top 3,0.5769230769230769
Top 4,0.5531914893617021
Top 5,0.45454545454545453
Top 10,0.3987730061349693
Top 20,0.3073394495412844
Top 30,0.264
