,Accuracy,Time
HCD35_Positive,72.62,0.39240360260009766
HCD45_Positive,69.94,0.4006528854370117
HCD65_Positive,69.05,0.37695860862731934
HCD35_Negative,71.28,0.06523990631103516
HCD45_Negative,73.4,0.07739377021789551
HCD65_Negative,69.15,0.10306906700134277
