,Feature Selection + Decomposition_Positive,Feature Selection + Decomposition_Negative
Random Forest,0.7559523809523809,0.7021276595744681
XGBoost,0.8214285714285714,0.7659574468085106
LightGBM,0.8214285714285714,0.8085106382978723
Keras,0.6964285714285714,0.5638297859658586
