,Accuracy
Top 2,0.5901639344262295
Top 3,0.6282051282051282
Top 4,0.6276595744680851
Top 5,0.5181818181818182
Top 10,0.4171779141104294
Top 20,0.3623853211009174
Top 30,0.328
