,Accuracy
Top 2,0.7772511848341233
Top 3,0.7335766423357665
Top 4,0.6666666666666666
Top 5,0.6299212598425197
Top 10,0.5074349442379182
Top 20,0.3902097902097902
Top 30,0.34478527607361964
