,0,1
0,tSVD,7.580883026123047
1,PCA,9.938262224197388
2,ICA,49.90167045593262
3,GRP,0.8784835338592529
4,SRP,0.17569208145141602
5,KPCA,4.040994167327881
6,TSNE,656.0961186885834
7,NMF,22.99688172340393
8,FAG,1492.6816749572754
9,tSVD,4.930375337600708
10,PCA,5.968978643417358
11,ICA,12.131409645080566
12,GRP,0.3661916255950928
13,SRP,0.17857694625854492
14,KPCA,2.7727584838867188
15,TSNE,376.6282250881195
16,NMF,13.211013793945312
17,FAG,1483.7458546161652
18,tSVD,9.211854934692383
19,PCA,5.757883310317993
20,ICA,13.728343486785889
21,GRP,0.43161606788635254
22,SRP,0.19284415245056152
23,KPCA,3.107898473739624
24,TSNE,321.14409589767456
25,NMF,21.583775281906128
26,FAG,1444.786206960678
