,Accuracy
Top 2,0.7298578199052133
Top 3,0.7043795620437956
Top 4,0.6101190476190477
Top 5,0.6325459317585301
Top 10,0.5055762081784386
Top 20,0.3594405594405594
Top 30,0.3558282208588957
