,Accuracy
Top 2,0.5737704918032787
Top 3,0.6025641025641025
Top 4,0.6382978723404256
Top 5,0.5363636363636364
Top 10,0.3803680981595092
Top 20,0.37155963302752293
Top 30,0.32
